Filename,Admiration,Amusement,Determination,Empathic Pain,Excitement,Joy
00000,0.3333333432674408,0.3333333432674408,0.0,0.0,0.3333333432674408,0.0
00001,0.0,0.0,0.0,0.0,0.5,0.0
00002,0.5,0.0,0.0,0.0,0.0,0.0
00003,0.0,0.0,0.5,0.0,0.0,0.0
00004,0.4000000059604645,0.0,0.0,0.0,0.2000000029802322,0.4000000059604645
00005,0.0,0.625,0.0,0.0,0.25,0.125
00006,0.0172413792461156,0.0172413792461156,0.0258620698004961,0.0,0.0517241396009922,0.0
00007,0.5,0.0,0.0,0.0,0.5,0.0
00008,0.5,0.5,0.5,0.5,0.5,0.5
00009,0.0,0.3333333432674408,0.0,0.0,0.3333333432674408,0.0
00010,0.0366972461342811,0.1467889845371246,0.027522936463356,0.0,0.2385321110486984,0.0183486230671405
00011,0.0,0.0,0.5,0.0,0.0,0.0
00012,0.0,0.3333333432674408,0.0,0.0,0.0,0.0
00013,0.5,0.0,0.0,0.0,0.0,0.0
00014,0.0,0.2000000029802322,0.0,0.0,0.0,0.2000000029802322
00015,0.25,0.0,0.0,0.0,0.25,0.25
00016,0.0,0.0,0.0,0.0948275849223136,0.0,0.0
00017,0.5,0.0,0.0,0.0,1.0,0.0
00018,0.0,0.0,0.0,0.5,0.0,0.0
00019,0.5,0.5,0.0,0.0,0.0,0.0
00020,0.0,0.0,0.0,0.0,0.0,0.1666666716337204
00021,0.5,0.0,0.5,0.0,0.0,0.0
00022,0.0,0.3333333432674408,0.0,0.0,0.0,0.0
00023,0.0,0.5,0.0,0.0,0.0,0.0
00024,0.0,0.1666666716337204,0.0,0.0,0.5,0.3333333432674408
00025,0.3333333432674408,0.0,0.0,0.0,0.3333333432674408,0.0
00026,0.4000000059604645,0.0,0.0,0.0,0.0,0.0
00027,0.0,0.0,0.0,0.0,0.3333333432674408,0.6666666865348816
00028,0.0,0.0,0.5,0.0,0.0,0.0
00029,0.0,0.0,0.3333333432674408,0.0,0.6666666865348816,0.0
00030,0.5,0.5,0.0,0.0,0.5,0.5
00031,0.0,1.0,0.0,0.0,0.0,0.0
00032,0.0088495574891567,0.0,0.3185840845108032,0.0,0.0,0.0
00033,0.0,0.0,0.5,0.0,0.0,0.0
00034,0.5,0.5,0.0,0.0,0.0,1.0
00035,0.045045044273138,0.0180180184543132,0.0630630627274513,0.0,0.0,0.0270270276814699
00036,0.75,0.0,0.0,0.0,0.25,0.0
00037,0.0,0.0,0.5,0.0,0.0,0.0
00038,1.0,0.0,0.0,0.0,0.0,0.0
00039,1.0,0.0,0.0,0.0,0.0,0.0
00040,0.0,0.0,0.0,0.5,0.0,0.0
00041,0.0,0.0,0.0,0.0,0.5,0.5
00042,0.0,0.0,1.0,0.0,0.5,0.0
00043,0.125,0.25,0.0,0.125,0.0,0.375
00044,1.0,0.0,0.0,0.0,0.0,0.0
00045,0.0,0.0,0.0,0.2000000029802322,0.0,0.0
00046,0.0,0.0,0.0,0.0,0.0,0.1666666716337204
00047,0.4000000059604645,0.2000000029802322,0.0,0.0,0.2000000029802322,0.6000000238418579
00048,0.0,0.0,0.5,0.0,0.0,0.0
00049,0.5,0.0,0.0,0.0,0.5,0.0
00050,0.5,0.0,0.0,0.0,0.0,0.0
00051,0.25,0.0,0.0,0.0,0.25,0.0
00052,1.0,0.0,0.0,0.0,0.0,0.0
00053,0.0,0.0,0.0,0.0,0.5,0.0
00054,0.5,0.0,0.0,0.0,0.0,0.0
00055,0.3333333432674408,0.1666666716337204,0.0,0.0,0.0,0.3333333432674408
00056,0.0,0.5,0.0,0.0,0.0,0.0
00057,0.6666666865348816,0.0,0.0,0.0,0.0,0.0
00058,0.0,0.0183486230671405,0.0458715595304966,0.0,0.2201834917068481,0.1009174287319183
00059,0.0,0.5,0.0,0.0,0.0,0.0
00060,0.5,0.0,0.0,0.0,0.0,0.0
00061,0.0,0.0089285718277096,0.0357142873108387,0.0089285718277096,0.0089285718277096,0.0
00062,0.0,0.0,0.0,0.0,0.5,0.0
00063,0.0,1.0,0.0,0.0,0.0,0.0
00064,0.0,0.0,0.0,0.0,0.5,0.0
00065,0.0285714287310838,0.0,0.0571428574621677,0.0285714287310838,0.0,0.0
00066,0.0,0.5,0.0,0.0,0.5,0.5
00067,0.0,0.3333333432674408,0.3333333432674408,0.0,0.0,0.3333333432674408
00068,0.6666666865348816,0.0,0.0,0.0,0.3333333432674408,0.0
00069,0.3333333432674408,0.0,0.3333333432674408,0.0,0.3333333432674408,0.0
00070,0.0,0.0,0.0,0.0,1.0,1.0
00071,0.0,0.125,0.0,0.0,0.0,0.125
00072,0.0,0.0,0.5,0.0,0.0,0.0
00073,0.0,0.0,0.0,0.1428571492433548,0.0,0.0
00074,0.0,0.5,0.0,0.0,0.0,0.0
00075,0.6666666865348816,0.0,0.0,0.0,0.0,0.0
00076,1.0,0.0,0.0,0.0,0.0,0.0
00077,0.0,0.0,0.0,0.0,0.5,0.0
00078,0.0080000003799796,0.0399999991059303,0.1360000073909759,0.0080000003799796,0.1599999964237213,0.0
00079,0.3333333432674408,0.3333333432674408,0.0,0.0,0.0,0.0
00080,1.0,0.0,0.0,0.0,0.0,0.0
00081,0.1666666716337204,0.0,0.0,0.0,0.0,0.0
00082,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
00083,0.0,0.0,0.2,0.0,0.0,0.0
00084,0.0,0.0,0.0,0.0,0.5,0.0
00085,0.0,1.0,0.0,0.0,0.0,0.0
00086,0.0,0.0,0.0,0.0,0.5,0.0
00087,0.5,0.5,0.5,0.0,0.0,0.0
00088,0.0,0.0,0.5,0.0,0.0,0.0
00089,0.0,0.0,0.0,0.0,0.5,0.0
00090,0.0,0.0,0.0,0.0,0.25,0.25
00091,0.0,0.3333333432674408,0.0,0.0,0.0,0.3333333432674408
00092,0.0,0.0,0.0,0.5,0.5,0.0
00093,0.0,0.5,0.0,0.0,0.0,0.0
00094,0.0,0.0,0.6000000238418579,0.0,0.0,0.0
00095,0.5,0.0,0.0,0.0,0.0,0.0
00096,0.25,0.25,0.0,0.0,0.0,0.0
00097,0.5,0.5,0.0,0.0,0.0,0.5
00098,0.0,0.5,0.0,0.0,0.0,0.0
00099,0.3333333432674408,0.3333333432674408,0.0,0.0,0.0,0.0
00100,0.0,0.5,0.0,0.0,0.0,0.5
00101,0.1666666716337204,0.1666666716337204,0.0,0.0,0.1666666716337204,0.0
00102,0.0080000003799796,0.0399999991059303,0.1360000073909759,0.0080000003799796,0.1599999964237213,0.0
00103,0.0,0.0,0.6666666865348816,0.0,0.0,0.3333333432674408
00104,0.0,0.5,0.0,0.0,0.5,0.0
00105,0.7142857313156128,0.0,0.0,0.0,0.0,0.0
00106,0.1009174287319183,0.0091743115335702,0.027522936463356,0.0,0.082568809390068,0.027522936463356
00107,0.0,0.25,0.0,0.0,0.0,0.0
00108,0.0,0.5,0.0,0.0,0.5,0.0
00109,0.25,0.0,0.0,0.25,0.0,0.0
00110,0.0,0.0,0.0,0.0,0.5,1.0
00111,0.1666666716337204,0.0,0.0,0.0,0.0,0.0
00112,0.5,0.0,0.0,0.0,0.0,0.0
00113,0.0,0.25,0.25,0.0,0.0,0.0
00114,0.0,0.0,0.3333333432674408,0.0,0.3333333432674408,0.0
00115,0.0,0.0,0.0,0.0,0.5,0.0
00116,0.0,0.5,0.0,0.0,0.0,0.0
00117,0.5,0.0,0.0,0.0,0.0,0.0
00118,0.1351351290941238,0.1351351290941238,0.0,0.0,0.0,0.0540540553629398
00119,0.0,0.0,0.0,0.0,0.0,0.5
00120,0.0,0.0,1.0,0.0,0.0,0.0
00121,0.0,0.0,0.0,0.25,0.0,0.0
00122,0.2000000029802322,0.2000000029802322,0.0,0.0,0.0,0.0
00123,0.5,0.0,0.0,0.0,0.5,0.5
00124,0.0,0.6000000238418579,0.0,0.0,0.0,0.2000000029802322
00125,0.5,0.0,0.5,0.0,0.0,0.0
00126,0.5,0.0,0.0,0.0,0.0,0.0
00127,0.0,0.5,0.0,0.0,0.0,0.0
00128,0.0,0.5,0.5,0.0,0.5,0.0
00129,0.0,1.0,0.0,0.0,0.0,1.0
00130,0.0,0.0,0.5,0.0,0.0,0.0
00131,0.0,0.0,0.5,0.0,0.0,0.0
00132,0.1636363565921783,0.0,0.1000000014901161,0.0,0.0,0.0090909088030457
00133,0.5,0.0,0.0,0.0,0.0,0.0
00134,1.0,0.5,0.0,0.0,0.5,0.0
00135,0.0,0.3333333432674408,0.0,0.0,0.0,0.0
00136,0.5,0.5,0.5,0.0,0.0,0.0
00137,0.0,0.0,0.0,0.0,0.0,0.5
00138,0.0,0.5,0.0,0.0,0.0,0.0
00139,1.0,0.0,0.0,0.0,0.0,0.0
00140,0.0,0.0,0.2000000029802322,0.0,0.0,0.0
00141,0.5,0.0,0.1666666716337204,0.0,0.0,0.1666666716337204
00142,0.0,0.5,0.0,0.0,0.0,0.0
00143,0.0,0.0,0.0,0.0,1.0,0.0
00144,0.6000000238418579,0.0,0.0,0.0,0.2000000029802322,0.0
00145,0.0,0.0,0.5,0.0,0.0,0.0
00146,0.0270270276814699,0.1351351290941238,0.0,0.0,0.2432432472705841,0.1351351290941238
00147,0.0,0.5,0.0,0.0,0.0,0.0
00148,0.5,0.0,0.0,0.0,0.0,0.0
00149,0.0,0.0,0.5,0.0,0.0,0.0
00150,0.5,0.0,0.0,0.0,0.0,0.0
00151,0.0172413792461156,0.0172413792461156,0.0258620698004961,0.0,0.0517241396009922,0.0
00152,0.5,0.0,0.0,0.0,0.0,0.0
00153,0.0,0.5,0.0,0.0,0.0,0.0
00154,0.3333333432674408,0.0,0.3333333432674408,0.0,0.3333333432674408,0.0
00155,0.25,0.0,0.0,0.0,0.25,0.25
00156,0.5,0.0,0.0,0.0,0.0,0.0
00157,0.0,0.5,0.0,0.0,0.0,0.0
00158,0.0,1.0,0.0,0.0,0.0,0.3333333432674408
00159,0.0,0.0,0.0,0.0,0.5,0.0
00160,0.0,0.0,0.0,0.0,0.5,0.5
00161,0.0,0.0,0.0,0.0,0.0,0.5
00162,0.0,0.0,0.0,0.0,1.0,0.0
00163,0.3333333432674408,0.0,0.3333333432674408,0.0,0.0,0.0
00164,0.1428571492433548,0.0,0.0,0.0,0.0,0.0
00165,0.0,0.0,0.25,0.75,0.0,0.0
00166,0.0,0.0,0.0,0.0,0.5,0.0
00167,0.0,0.0,0.800000011920929,0.0,0.0,0.0
00168,0.0,0.25,0.0,0.0,0.0,0.0
00169,0.5,0.5,0.0,0.0,0.0,0.0
00170,0.0,0.3333333432674408,0.0,0.0,0.0,0.3333333432674408
00171,0.5,0.0,0.0,0.0,0.0,0.0
00172,0.0088495574891567,0.0,0.3185840845108032,0.0,0.0,0.0
00173,0.3333333432674408,0.0,0.0,0.0,0.0,0.0
